576 6 163 ; 38 99 45 ; 257 574 119 ; 730 356 79 ; 900 920 162 ; 
626 494 282 ; 82 976 12 ; 251 852 264 ; 777 974 429 ; 674 740 350 ; 
464 13 222 ; 786 396 196 ; 659 281 351 ; 535 625 473 ; 260 739 403 ; 
754 393 400 ; 706 621 275 ; 534 637 429 ; 485 406 264 ; 201 981 105 ; 
214 555 239 ; 610 163 251 ; 891 866 193 ; 492 892 361 ; 207 823 448 ; 
601 791 204 ; 198 362 403 ; 836 16 1 ; 218 944 156 ; 175 602 417 ; 
730 933 282 ; 894 705 200 ; 736 238 462 ; 604 431 373 ; 403 136 365 ; 
171 100 456 ; 533 819 133 ; 549 197 408 ; 470 109 396 ; 48 506 174 ; 
981 80 298 ; 662 892 136 ; 901 266 238 ; 308 531 159 ; 444 264 19 ; 
545 204 427 ; 340 746 78 ; 537 462 451 ; 646 1014 125 ; 128 760 67 ; 
208 682 31 ; 76 311 108 ; 342 833 199 ; 873 44 52 ; 113 884 176 ; 
318 79 225 ; 40 469 402 ; 502 368 258 ; 492 817 352 ; 228 712 486 ; 
911 655 79 ; 198 556 263 ; 7 95 92 ; 52 535 378 ; 936 259 496 ; 
1015 428 309 ; 460 118 479 ; 828 149 287 ; 622 717 493 ; 310 907 345 ; 
966 202 370 ; 498 730 365 ; 593 310 467 ; 104 232 266 ; 363 4 274 ; 
792 914 10 ; 910 93 253 ; 35 337 81 ; 752 58 150 ; 636 272 84 ; 
838 714 450 ; 544 19 484 ; 854 546 442 ; 63 56 23 ; 67 643 335 ; 
981 117 203 ; 51 607 351 ; 388 532 385 ; 446 262 65 ; 718 614 389 ; 
408 253 49 ; 427 857 420 ; 973 936 320 ; 6 583 491 ; 649 335 162 ; 
766 450 181 ; 349 333 359 ; 882 102 26 ; 120 931 470 ; 735 465 184 ; 
988 634 219 ; 821 618 295 ; 733 123 427 ; 293 482 432 ; 628 904 78 ; 
54 369 139 ; 387 816 478 ; 489 290 347 ; 397 152 329 ; 862 461 426 ; 
472 464 73 ; 67 875 369 ; 190 690 2 ; 672 455 64 ; 552 225 281 ; 
921 645 285 ; 714 807 483 ; 1004 294 78 ; 133 664 455 ; 594 130 180 ; 
34 331 494 ; 909 496 447 ; 576 458 310 ; 7 130 404 ; 232 95 72 ; 
877 688 476 ; 660 311 297 ; 955 321 395 ; 595 821 296 ; 725 693 321 ; 
32 404 7 ; 528 587 221 ; 986 837 462 ; 93 253 306 ; 188 341 389 ; 
877 981 438 ; 164 494 91 ; 486 722 180 ; 283 930 51 ; 976 247 182 ; 
356 158 55 ; 943 103 391 ; 756 957 411 ; 1009 340 469 ; 326 753 482 ; 
283 375 379 ; 778 875 148 ; 476 1011 124 ; 382 54 386 ; 629 716 37 ; 
787 55 314 ; 890 450 154 ; 823 349 62 ; 139 210 346 ; 893 165 412 ; 
244 308 34 ; 95 304 190 ; 82 464 176 ; 136 87 92 ; 852 1016 382 ; 
907 874 219 ; 333 65 314 ; 682 199 36 ; 893 65 199 ; 34 941 259 ; 
342 96 160 ; 646 558 488 ; 86 774 40 ; 173 442 142 ; 166 492 199 ; 
16 147 243 ; 81 589 183 ; 280 897 56 ; 346 1004 479 ; 263 227 420 ; 
359 343 362 ; 917 704 36 ; 667 136 442 ; 85 674 204 ; 577 325 358 ; 
724 829 496 ; 289 192 80 ; 162 912 118 ; 143 267 374 ; 370 515 344 ; 
714 797 292 ; 394 397 455 ; 530 643 377 ; 180 976 380 ; 506 458 262 ; 
311 106 51 ; 503 794 172 ; 391 540 437 ; 659 567 236 ; 150 939 267 ; 
948 551 289 ; 321 523 167 ; 965 388 389 ; 917 920 347 ; 351 514 184 ; 
457 686 450 ; 227 558 241 ; 768 719 240 ; 311 19 355 ; 226 486 214 ; 
778 300 89 ; 277 827 341 ; 665 725 358 ; 561 128 435 ; 52 736 424 ; 
738 826 387 ; 272 203 468 ; 991 83 304 ; 1011 355 12 ; 473 261 115 ; 
773 318 161 ; 577 299 295 ; 278 602 472 ; 406 845 69 ; 119 982 319 ; 
945 445 335 ; 125 366 169 ; 208 514 345 ; 563 406 152 ; 825 609 327 ; 
119 14 137 ; 419 198 74 ; 1021 658 307 ; 842 760 225 ; 800 399 176 ; 
222 90 343 ; 588 519 28 ; 78 196 473 ; 484 864 122 ; 69 496 477 ; 
83 601 458 ; 281 455 302 ; 940 887 53 ; 676 572 422 ; 51 664 344 ; 
141 875 245 ; 660 1008 215 ; 856 241 371 ; 696 707 369 ; 168 713 425 ; 
769 519 450 ; 201 445 161 ; 64 790 355 ; 636 108 3 ; 277 269 175 ; 
128 206 190 ; 112 365 235 ; 354 88 479 ; 37 913 267 ; 750 174 251 ; 
246 528 464 ; 691 965 337 ; 458 660 2 ; 566 271 414 ; 835 558 151 ; 
17 896 388 ; 382 351 320 ; 470 466 477 ; 359 413 183 ; 533 33 60 ; 
37 845 87 ; 1003 378 73 ; 639 113 320 ; 911 935 234 ; 445 346 237 ; 
318 34 24 ; 669 875 342 ; 112 804 404 ; 525 63 435 ; 558 383 302 ; 
379 430 284 ; 758 723 181 ; 871 684 156 ; 782 78 64 ; 105 39 111 ; 
139 836 268 ; 1014 626 430 ; 794 798 332 ; 857 417 304 ; 217 396 465 ; 
647 908 68 ; 347 433 75 ; 7 962 177 ; 85 82 376 ; 125 113 439 ; 
961 589 164 ; 563 360 143 ; 337 800 198 ; 755 328 304 ; 127 381 146 ; 
11 993 283 ; 444 961 6 ; 382 662 37 ; 464 211 48 ; 577 542 126 ; 
143 978 359 ; 503 529 124 ; 279 71 59 ; 607 408 272 ; 988 578 199 ; 
958 965 142 ; 895 975 89 ; 533 309 370 ; 744 673 344 ; 262 99 225 ; 
216 674 326 ; 746 162 65 ; 817 213 224 ; 201 602 487 ; 779 721 158 ; 
720 968 55 ; 672 201 245 ; 981 903 304 ; 630 964 113 ; 730 465 50 ; 
380 543 52 ; 543 765 489 ; 756 465 3 ; 334 445 144 ; 32 7 218 ; 
1000 558 17 ; 177 19 382 ; 57 375 114 ; 1021 241 455 ; 462 851 453 ; 
1005 699 383 ; 746 764 160 ; 188 551 407 ; 633 132 331 ; 640 938 58 ; 
175 475 138 ; 194 733 214 ; 570 639 375 ; 811 502 344 ; 638 996 317 ; 
313 171 167 ; 54 751 425 ; 605 850 7 ; 737 682 139 ; 651 848 308 ; 
103 22 25 ; 836 196 196 ; 452 547 418 ; 954 956 144 ; 926 337 191 ; 
74 181 109 ; 825 6 303 ; 652 577 113 ; 310 313 190 ; 134 681 236 ; 
156 666 263 ; 352 826 346 ; 899 157 15 ; 831 57 235 ; 145 769 165 ; 
326 70 408 ; 332 709 346 ; 909 378 343 ; 198 653 307 ; 880 641 69 ; 
522 256 187 ; 325 999 151 ; 482 530 323 ; 539 513 283 ; 284 426 22 ; 
355 242 211 ; 40 132 369 ; 419 848 421 ; 48 167 227 ; 689 821 425 ; 
945 584 177 ; 920 504 156 ; 426 775 261 ; 939 922 411 ; 342 877 250 ; 
584 976 175 ; 717 378 442 ; 541 111 410 ; 708 754 489 ; 505 572 73 ; 
66 245 398 ; 570 441 228 ; 321 962 112 ; 220 941 363 ; 73 436 270 ; 
25 215 148 ; 403 349 109 ; 515 523 146 ; 245 93 103 ; 817 734 343 ; 
39 17 233 ; 480 245 163 ; 419 369 285 ; 336 920 274 ; 772 363 414 ; 
987 147 227 ; 312 516 129 ; 836 578 488 ; 929 157 375 ; 639 445 221 ; 
656 214 302 ; 901 49 445 ; 247 454 158 ; 143 156 257 ; 506 79 301 ; 
654 74 42 ; 146 95 5 ; 725 520 486 ; 882 435 394 ; 303 596 219 ; 
517 551 386 ; 566 544 147 ; 1020 1018 432 ; 153 887 151 ; 232 69 371 ; 
306 23 213 ; 402 964 123 ; 922 170 266 ; 333 212 83 ; 930 159 381 ; 
457 746 5 ; 1001 965 38 ; 996 37 145 ; 859 381 109 ; 928 868 58 ; 
951 837 406 ; 892 437 381 ; 38 183 315 ; 251 654 197 ; 410 983 402 ; 
132 592 356 ; 73 719 361 ; 111 388 11 ; 492 53 167 ; 336 896 438 ; 
149 946 275 ; 586 279 218 ; 769 14 330 ; 399 671 393 ; 359 638 4 ; 
951 510 382 ; 646 840 63 ; 10 123 44 ; 64 402 111 ; 960 516 267 ; 
882 535 31 ; 138 482 321 ; 152 296 111 ; 824 149 465 ; 438 253 168 ; 
948 768 103 ; 764 391 127 ; 887 87 425 ; 265 919 496 ; 782 194 448 ; 
293 830 340 ; 775 591 282 ; 48 938 8 ; 197 7 481 ; 451 500 249 ; 
195 327 67 ; 586 82 291 ; 673 484 284 ; 568 896 407 ; 763 348 33 ; 
569 760 395 ; 136 6 472 ; 50 415 336 ; 58 976 316 ; 558 313 157 ; 
885 88 12 ; 968 811 319 ; 428 251 85 ; 300 579 411 ; 648 148 407 ; 
384 499 342 ; 390 119 247 ; 805 515 499 ; 757 959 358 ; 46 577 140 ; 
134 645 14 ; 946 909 435 ; 173 734 31 ; 752 209 431 ; 900 253 427 ; 
375 35 171 ; 495 387 3 ; 1010 874 206 ; 946 388 287 ; 499 984 433 ; 
120 90 39 ; 5 82 174 ; 740 17 184 ; 949 381 149 ; 178 20 182 ; 
214 308 314 ; 601 979 442 ; 451 1017 241 ; 840 837 399 ; 800 390 233 ; 
891 1013 400 ; 973 747 117 ; 990 403 350 ; 347 233 390 ; 368 815 444 ; 
676 249 474 ; 631 59 472 ; 625 364 185 ; 438 656 317 ; 828 869 77 ; 
817 558 253 ; 541 367 64 ; 944 181 93 ; 153 736 428 ; 968 192 147 ; 
194 850 31 ; 253 699 103 ; 618 124 367 ; 250 1 28 ; 95 718 78 ; 
653 188 98 ; 1020 548 479 ; 178 858 396 ; 914 110 33 ; 82 733 390 ; 
932 701 151 ; 607 320 277 ; 732 571 414 ; 733 423 304 ; 428 713 198 ; 
616 807 330 ; 140 695 303 ; 998 99 384 ; 84 448 126 ; 818 951 420 ; 
495 374 62 ; 815 1015 378 ; 363 885 490 ; 786 350 286 ; 476 64 231 ; 
259 898 255 ; 954 338 463 ; 30 798 420 ; 478 412 70 ; 405 940 491 ; 
779 526 33 ; 770 20 376 ; 632 122 123 ; 982 956 494 ; 22 476 17 ; 
921 423 269 ; 235 987 52 ; 9 667 495 ; 421 321 345 ; 337 60 135 ; 
863 617 109 ; 883 645 120 ; 1006 465 243 ; 938 647 447 ; 390 592 185 ; 
814 1013 211 ; 777 670 152 ; 420 257 367 ; 741 898 388 ; 802 993 45 ; 
395 470 110 ; 17 727 145 ; 482 730 381 ; 105 341 307 ; 698 934 61 ; 
687 525 376 ; 333 14 358 ; 590 761 323 ; 464 494 43 ; 434 647 236 ; 
904 114 246 ; 607 443 458 ; 313 632 247 ; 654 803 385 ; 564 889 70 ; 
66 341 320 ; 80 607 404 ; 841 626 225 ; 311 41 280 ; 959 197 412 ; 
49 132 258 ; 492 462 279 ; 101 809 94 ; 904 614 300 ; 769 524 194 ; 
86 109 463 ; 693 381 169 ; 295 986 317 ; 336 134 422 ; 534 771 78 ; 
666 817 181 ; 104 744 342 ; 913 255 206 ; 503 79 155 ; 3 557 200 ; 
112 576 49 ; 493 661 432 ; 456 826 57 ; 590 809 397 ; 337 79 345 ; 
131 308 491 ; 875 586 81 ; 106 332 277 ; 185 180 474 ; 743 932 57 ; 
295 405 153 ; 957 989 229 ; 759 219 191 ; 544 768 319 ; 623 629 41 ; 
931 1 123 ; 493 38 322 ; 826 180 417 ; 1006 210 4 ; 914 744 233 ; 
295 257 300 ; 261 906 372 ; 480 1 469 ; 224 576 56 ; 853 718 261 ; 
854 173 308 ; 893 783 84 ; 49 220 281 ; 259 788 403 ; 1003 518 161 ; 
236 990 403 ; 119 734 235 ; 120 411 384 ; 697 848 464 ; 391 805 316 ; 
564 361 341 ; 323 849 180 ; 543 807 265 ; 308 566 374 ; 826 308 481 ; 
792 963 349 ; 503 890 277 ; 914 54 348 ; 738 722 253 ; 519 590 14 ; 
881 288 173 ; 706 840 205 ; 489 237 284 ; 32 707 327 ; 340 412 339 ; 
279 97 405 ; 146 19 178 ; 200 59 29 ; 923 220 427 ; 489 54 134 ; 
777 279 409 ; 593 44 62 ; 830 132 381 ; 513 764 294 ; 926 679 58 ; 
1023 397 334 ; 18 907 378 ; 78 896 424 ; 298 775 356 ; 353 369 343 ; 
632 483 201 ; 677 453 270 ; 809 106 436 ; 549 249 462 ; 205 423 224 ; 
602 938 406 ; 485 708 5 ; 357 624 356 ; 108 740 102 ; 478 756 348 ; 
961 237 461 ; 390 495 466 ; 497 323 363 ; 746 982 140 ; 145 106 126 ; 
59 156 11 ; 767 205 201 ; 367 273 78 ; 84 419 319 ; 840 864 203 ; 
53 637 69 ; 548 19 326 ; 872 78 241 ; 830 947 490 ; 936 317 72 ; 
68 916 193 ; 273 69 41 ; 547 731 492 ; 966 726 472 ; 806 829 336 ; 
420 387 280 ; 439 905 209 ; 518 790 393 ; 441 148 269 ; 758 252 151 ; 
650 502 115 ; 719 811 363 ; 426 863 457 ; 128 259 48 ; 957 763 442 ; 
320 59 489 ; 202 432 1 ; 992 330 444 ; 117 75 34 ; 369 651 59 ; 
871 114 201 ; 658 670 119 ; 498 475 366 ; 757 827 20 ; 497 97 400 ; 
556 174 414 ; 989 671 130 ; 295 584 80 ; 370 1014 5 ; 1021 862 42 ; 
112 443 467 ; 782 675 475 ; 233 601 457 ; 36 954 407 ; 133 410 1 ; 
308 824 370 ; 979 535 350 ; 539 447 299 ; 530 328 462 ; 368 326 461 ; 
811 694 298 ; 462 909 90 ; 40 758 200 ; 994 82 437 ; 380 163 201 ; 
181 741 83 ; 716 851 127 ; 139 927 482 ; 468 273 298 ; 794 1014 404 ; 
464 729 416 ; 349 555 35 ; 84 140 382 ; 166 981 174 ; 329 835 432 ; 
46 822 56 ; 897 93 461 ; 800 343 481 ; 50 109 49 ; 40 405 317 ; 
769 45 31 ; 301 497 12 ; 441 387 381 ; 398 317 301 ; 209 217 179 ; 
7 497 164 ; 100 959 182 ; 444 88 232 ; 553 381 464 ; 959 118 342 ; 
1004 650 31 ; 477 622 328 ; 864 943 325 ; 157 325 426 ; 374 896 217 ; 
872 773 398 ; 807 695 258 ; 895 491 274 ; 253 64 78 ; 371 710 320 ; 
1021 373 255 ; 619 806 151 ; 539 515 45 ; 864 666 317 ; 736 191 347 ; 
485 949 65 ; 157 691 29 ; 648 534 52 ; 712 820 116 ; 399 636 121 ; 
772 387 384 ; 554 119 290 ; 46 328 497 ; 712 377 92 ; 903 584 376 ; 
828 142 381 ; 496 571 270 ; 6 784 79 ; 826 868 40 ; 439 181 468 ; 
826 889 355 ; 945 571 436 ; 249 873 186 ; 627 689 284 ; 187 346 156 ; 
329 739 371 ; 901 593 124 ; 661 605 80 ; 505 241 310 ; 686 589 96 ; 
551 313 407 ; 99 809 202 ; 972 835 279 ; 637 908 389 ; 983 668 496 ; 
698 308 3 ; 268 776 125 ; 873 716 242 ; 90 662 111 ; 679 410 348 ; 
992 598 426 ; 777 588 229 ; 589 499 400 ; 473 660 436 ; 117 424 430 ; 
425 376 461 ; 177 657 412 ; 893 815 52 ; 531 610 313 ; 942 910 87 ; 
516 872 138 ; 80 361 27 ; 579 974 40 ; 216 510 13 ; 640 684 434 ; 
1016 818 108 ; 649 626 461 ; 440 702 415 ; 26 627 252 ; 936 642 136 ; 
784 312 162 ; 122 975 90 ; 72 368 122 ; 582 349 389 ; 243 804 429 ; 
37 352 90 ; 663 325 226 ; 341 476 112 ; 968 497 192 ; 586 25 79 ; 
898 495 471 ; 850 457 148 ; 194 499 42 ; 543 96 202 ; 323 934 64 ; 
675 364 263 ; 1001 810 408 ; 453 882 263 ; 950 371 380 ; 975 910 276 ; 
446 337 186 ; 903 549 101 ; 378 883 399 ; 475 265 121 ; 385 230 428 ; 
749 437 460 ; 535 682 471 ; 394 565 128 ; 765 790 346 ; 651 958 376 ; 
988 689 208 ; 514 294 354 ; 373 749 258 ; 639 374 244 ; 869 542 499 ; 
282 10 304 ; 964 154 101 ; 506 274 117 ; 272 848 463 ; 206 325 184 ; 
895 777 211 ; 165 651 163 ; 914 405 245 ; 264 538 295 ; 807 121 218 ; 
817 90 79 ; 971 807 493 ; 222 12 18 ; 46 635 268 ; 371 999 124 ; 
124 990 66 ; 776 946 78 ; 157 391 315 ; 695 210 326 ; 817 668 82 ; 
907 971 365 ; 690 533 283 ; 703 35 10 ; 314 43 176 ; 290 323 479 ; 
256 809 442 ; 178 143 479 ; 570 667 91 ; 780 57 240 ; 425 735 172 ; 
372 173 385 ; 905 428 332 ; 940 630 170 ; 983 31 461 ; 282 502 224 ; 
68 320 438 ; 211 263 370 ; 878 982 481 ; 935 835 15 ; 647 359 323 ; 
820 700 272 ; 224 924 145 ; 854 814 230 ; 885 384 251 ; 363 268 474 ; 
684 442 377 ; 947 872 173 ; 906 457 144 ; 717 612 459 ; 52 524 442 ; 
752 860 29 ; 652 545 437 ; 442 112 449 ; 826 619 428 ; 70 61 49 ; 
512 810 441 ; 361 603 249 ; 818 608 100 ; 407 467 438 ; 931 237 355 ; 
767 655 375 ; 289 868 179 ; 401 282 155 ; 1020 550 122 ; 57 679 244 ; 
868 148 395 ; 447 301 215 ; 31 378 224 ; 498 336 255 ; 736 1012 322 ; 
367 715 101 ; 211 147 216 ; 493 230 313 ; 19 756 474 ; 699 61 450 ; 
847 460 420 ; 125 347 408 ; 503 596 291 ; 839 639 363 ; 827 65 433 ; 
519 422 297 ; 666 522 132 ; 896 912 228 ; 629 678 385 ; 690 441 385 ; 
126 261 276 ; 473 949 499 ; 45 36 304 ; 684 179 143 ; 749 821 307 ; 
147 150 298 ; 670 871 197 ; 558 779 35 ; 212 156 468 ; 653 577 469 ; 
914 673 283 ; 839 593 157 ; 876 637 158 ; 31 161 12 ; 852 524 120 ; 
1003 690 10 ; 850 352 429 ; 605 679 447 ; 761 879 81 ; 315 684 102 ; 
988 155 15 ; 557 776 390 ; 171 847 337 ; 332 963 445 ; 856 739 281 ; 
522 241 277 ; 874 915 436 ; 530 210 186 ; 385 64 311 ; 46 130 493 ; 
201 849 172 ; 978 435 272 ; 801 861 294 ; 740 114 97 ; 455 423 121 ; 
697 561 25 ; 588 677 311 ; 798 620 326 ; 862 143 456 ; 992 428 21 ; 
818 4 139 ; 229 569 297 ; 66 667 447 ; 181 936 304 ; 604 513 28 ; 
141 946 443 ; 819 877 356 ; 415 659 252 ; 558 971 227 ; 987 645 213 ; 
991 364 166 ; 536 285 452 ; 179 160 461 ; 91 836 384 ; 604 204 165 ; 
526 28 437 ; 380 548 127 ; 15 633 374 ; 987 492 217 ; 608 189 115 ; 
972 879 266 ; 234 339 194 ; 394 29 466 ; 207 809 286 ; 411 746 193 ; 
439 263 366 ; 988 946 476 ; 597 400 188 ; 65 269 328 ; 254 697 499 ; 
110 63 427 ; 449 421 251 ; 478 292 121 ; 263 342 484 ; 1009 483 143 ; 
249 205 182 ; 171 454 342 ; 572 58 330 ; 841 702 251 ; 514 285 332 ; 
578 476 286 ; 999 616 336 ; 267 989 230 ; 609 733 484 ; 69 684 484 ; 
274 23 393 ; 728 825 2 ; 787 567 290 ; 465 906 130 ; 751 286 91 ; 
203 944 142 ; 819 689 196 ; 785 883 3 ; 494 531 179 ; 155 443 8 ; 
178 341 37 ; 1003 487 336 ; 546 805 28 ; 428 671 7 ; 714 355 101 ; 
634 553 308 ; 299 305 407 ; 158 32 3 ; 690 27 364 ; 109 632 326 ; 
450 281 33 ; 938 205 19 ; 719 858 126 ; 367 249 36 ; 722 106 352 ; 
251 714 54 ; 556 502 281 ; 588 85 72 ; 616 453 307 ; 224 291 469 ; 
505 285 394 ; 711 456 477 ; 545 607 71 ; 794 279 318 ; 901 380 201 ; 
591 170 311 ; 69 595 290 ; 154 296 38 ; 607 155 207 ; 899 704 327 ; 
160 338 55 ; 616 423 132 ; 199 422 43 ; 479 117 168 ; 859 178 219 ; 
5 962 92 ; 601 972 3 ; 897 515 9 ; 28 646 111 ; 732 369 379 ; 
46 316 434 ; 470 768 366 ; 892 908 490 ; 1009 568 138 ; 164 1023 49 ; 
102 331 224 ; 50 231 69 ; 565 200 218 ; 187 323 243 ; 556 30 451 ; 
872 636 163 ; 617 378 126 ; 501 737 316 ; 45 271 304 ; 45 284 466 ; 
376 132 150 ; 607 1009 168 ; 807 440 366 ; 107 767 80 ; 137 99 219 ; 
774 162 260 ; 128 272 108 ; 865 852 249 ; 112 277 22 ; 396 711 4 ; 
528 285 209 ; 514 985 81 ; 954 711 477 ; 697 1003 404 ; 796 459 179 ; 
959 471 329 ; 207 331 139 ; 36 809 327 ; 313 763 33 ; 0 763 449 ; 
285 808 422 ; 246 206 230 ; 957 211 92 ; 937 1023 78 ; 372 919 284 ; 
843 952 308 ; 150 735 371 ; 959 646 247 ; 699 399 103 ; 438 265 244 ; 
223 527 136 ; 429 293 281 ; 640 574 347 ; 639 784 200 ; 534 668 273 ; 
462 325 137 ; 173 940 200 ; 820 739 127 ; 195 574 462 ; 460 722 433 ; 
987 870 44 ; 257 279 355 ; 831 958 96 ; 591 547 448 ; 236 48 167 ; 
561 946 434 ; 477 638 76 ; 193 481 234 ; 767 260 234 ; 466 737 461 ; 
312 629 218 ; 592 744 425 ; 526 264 462 ; 49 424 125 ; 98 200 141 ; 
20 510 145 ; 658 258 446 ; 116 180 119 ; 376 922 60 ; 89 836 76 ; 
719 186 58 ; 439 523 494 ; 704 94 166 ; 104 495 421 ; 304 464 458 ; 
814 669 404 ; 49 411 248 ; 229 631 191 ; 128 19 211 ; 964 175 419 ; 
126 797 452 ; 649 708 355 ; 743 186 483 ; 215 191 431 ; 679 246 351 ; 
325 398 412 ; 736 571 398 ; 343 378 35 ; 363 301 409 ; 538 600 401 ; 
312 988 29 ; 1020 48 159 ; 182 571 216 ; 374 774 368 ; 620 57 387 ; 
1018 669 470 ; 565 48 263 ; 943 499 212 ; 220 156 139 ; 820 965 106 ; 
785 690 189 ; 833 541 149 ; 380 18 129 ; 130 238 499 ; 187 673 477 ; 
857 763 373 ; 905 155 296 ; 380 283 493 ; 537 754 9 ; 478 565 201 ; 
145 914 46 ; 686 551 291 ; 704 184 348 ; 942 1023 496 ; 591 189 370 ; 
331 998 173 ; 486 778 466 ; 769 100 203 ; 499 365 68 ; 40 850 469 ; 
954 108 159 ; 481 151 372 ; 665 3 63 ; 665 235 151 ; 854 597 302 ; 
828 123 457 ; 583 505 88 ; 683 769 310 ; 24 389 335 ; 874 546 155 ; 
983 157 375 ; 110 938 390 ; 114 357 495 ; 349 480 173 ; 947 522 274 ; 
46 132 276 ; 551 72 52 ; 296 499 103 ; 685 670 70 ; 207 317 314 ; 
365 5 389 ; 279 647 488 ; 636 746 458 ; 92 487 444 ; 615 893 294 ; 
747 105 81 ; 819 146 275 ; 294 769 46 ; 965 28 99 ; 258 334 352 ; 
263 491 424 ; 910 607 325 ; 633 834 280 ; 96 150 204 ; 990 840 396 ; 
71 429 215 ; 217 64 414 ; 987 251 138 ; 1015 734 196 ; 325 878 425 ; 
817 206 480 ; 400 923 235 ; 210 895 286 ; 361 479 275 ; 177 156 227 ; 
607 447 121 ; 671 462 381 ; 922 272 410 ; 632 376 17 ; 487 422 420 ; 
693 726 286 ; 593 269 151 ; 464 723 59 ; 944 786 118 ; 76 946 271 ; 
523 47 164 ; 985 244 379 ; 233 659 191 ; 610 12 497 ; 8 381 398 ; 
734 51 393 ; 1003 538 110 ; 703 401 23 ; 465 475 116 ; 387 910 240 ; 
435 499 496 ; 679 694 99 ; 314 537 465 ; 327 279 434 ; 708 653 204 ; 
759 490 200 ; 273 1020 402 ; 674 96 250 ; 126 660 325 ; 12 120 458 ; 
511 680 26 ; 182 739 1 ; 719 760 412 ; 998 1015 227 ; 627 855 110 ; 
93 704 334 ; 90 262 333 ; 186 824 462 ; 846 41 132 ; 966 748 462 ; 
622 818 75 ; 337 299 338 ; 74 459 132 ; 65 934 0 ; 920 712 290 ; 
600 174 402 ; 863 395 227 ; 663 889 229 ; 705 10 283 ; 429 280 357 ; 
223 563 339 ; 522 334 429 ; 981 286 227 ; 892 958 197 ; 580 581 274 ; 
755 831 366 ; 126 150 471 ; 1016 584 194 ; 2 179 285 ; 282 621 70 ; 
846 1004 7 ; 156 986 326 ; 442 281 324 ; 377 674 470 ; 958 108 286 ; 
765 462 438 ; 915 393 261 ; 475 163 88 ; 655 597 380 ; 252 711 474 ; 
232 231 480 ; 194 997 178 ; 475 238 54 ; 125 460 445 ; 233 550 498 ; 
696 196 356 ; 65 598 273 ; 229 102 124 ; 826 622 492 ; 513 120 363 ; 
744 924 243 ; 718 527 323 ; 956 285 238 ; 392 486 9 ; 942 40 39 ; 
114 552 100 ; 712 805 60 ; 814 950 242 ; 412 546 339 ; 532 797 489 ; 
433 276 262 ; 960 1011 167 ; 221 917 381 ; 708 275 229 ; 748 782 33 ; 
277 498 79 ; 58 911 157 ; 1008 365 382 ; 530 48 488 ; 303 557 61 ; 
579 555 73 ; 567 274 6 ; 460 711 390 ; 735 56 428 ; 493 817 268 ; 
992 472 56 ; 879 242 353 ; 220 724 80 ; 268 996 360 ; 825 657 243 ; 
356 851 238 ; 631 453 90 ; 318 1016 177 ; 375 776 33 ; 168 220 373 ; 
641 412 86 ; 883 882 422 ; 583 386 145 ; 555 898 497 ; 189 917 21 ; 
16 216 206 ; 469 94 315 ; 461 539 218 ; 213 420 296 ; 433 13 483 ; 
846 100 108 ; 704 154 101 ; 66 64 472 ; 964 193 251 ; 858 591 482 ; 
50 789 375 ; 144 320 355 ; 683 482 281 ; 79 963 42 ; 93 794 420 ; 
193 794 181 ; 347 411 383 ; 411 911 83 ; 605 970 157 ; 172 561 318 ; 
961 340 12 ; 258 136 478 ; 740 401 306 ; 679 103 25 ; 450 19 316 ; 
220 369 257 ; 632 540 434 ; 519 392 418 ; 466 309 57 ; 3 167 202 ; 
343 883 374 ; 479 625 132 ; 880 511 438 ; 984 56 66 ; 1003 705 314 ; 
348 422 164 ; 889 333 224 ; 257 591 448 ; 566 236 308 ; 734 487 54 ; 
593 909 21 ; 195 245 84 ; 706 863 100 ; 763 174 200 ; 444 164 428 ; 
866 604 56 ; 175 240 264 ; 766 509 141 ; 1003 273 418 ; 466 503 105 ; 
351 736 19 ; 597 288 376 ; 436 320 155 ; 610 209 14 ; 774 57 477 ; 
354 909 213 ; 595 62 479 ; 80 103 63 ; 353 402 381 ; 856 243 344 ; 
568 818 6 ; 856 962 94 ; 153 278 387 ; 362 300 27 ; 419 61 82 ; 
305 266 68 ; 367 313 299 ; 470 536 350 ; 872 502 170 ; 91 446 271 ; 
909 857 207 ; 848 595 147 ; 102 930 231 ; 402 677 208 ; 463 11 482 ; 
729 120 278 ; 18 583 207 ; 555 617 182 ; 33 731 344 ; 479 174 465 ; 
312 473 0 ; 907 316 266 ; 813 1015 194 ; 467 844 440 ; 478 10 18 ; 
598 620 461 ; 157 511 278 ; 774 769 152 ; 481 474 295 ; 655 27 440 ; 
104 695 432 ; 420 225 424 ; 412 603 68 ; 232 59 45 ; 242 941 88 ; 
863 238 483 ; 350 264 93 ; 96 309 71 ; 570 908 117 ; 597 517 403 ; 
268 605 198 ; 494 1005 267 ; 73 265 51 ; 133 339 339 ; 50 879 487 ; 
289 874 478 ; 553 444 145 ; 862 171 491 ; 747 672 51 ; 240 631 373 ; 
845 222 218 ; 826 941 143 ; 68 32 209 ; 407 560 314 ; 262 295 251 ; 
113 273 186 ; 557 90 431 ; 728 258 116 ; 376 521 43 ; 1008 331 62 ; 
206 737 410 ; 123 388 371 ; 155 533 73 ; 715 752 381 ; 1011 79 396 ; 
260 481 355 ; 351 148 92 ; 609 369 201 ; 106 428 105 ; 437 210 273 ; 
